ts_code,name,industry
000001.SZ,平安银行,银行
000002.SZ,万科Ａ,全国地产
000004.SZ,*ST国华,软件服务
000006.SZ,深振业Ａ,区域地产
000007.SZ,全新好,其他商业
000008.SZ,神州高铁,运输设备
000009.SZ,中国宝安,电气设备
000010.SZ,美丽生态,建筑工程
000011.SZ,深物业A,房产服务
000012.SZ,南玻Ａ,玻璃
000014.SZ,沙河股份,全国地产
000016.SZ,深康佳Ａ,家用电器
000017.SZ,深中华A,服饰
000019.SZ,深粮控股,农业综合
000020.SZ,深华发Ａ,元器件
000021.SZ,深科技,元器件
001872.SZ,招商港口,港口
000025.SZ,特力Ａ,综合类
000026.SZ,飞亚达,服饰
000027.SZ,深圳能源,火力发电
000028.SZ,国药一致,医药商业
000029.SZ,深深房Ａ,区域地产
000030.SZ,富奥股份,汽车配件
000031.SZ,大悦城,全国地产
000032.SZ,深桑达Ａ,建筑工程
000034.SZ,神州数码,软件服务
000035.SZ,中国天楹,环境保护
000036.SZ,华联控股,全国地产
000037.SZ,深南电A,火力发电
000039.SZ,中集集团,运输设备
000042.SZ,中洲控股,全国地产
001914.SZ,招商积余,房产服务
000045.SZ,深纺织Ａ,元器件
000048.SZ,京基智农,农业综合
000049.SZ,德赛电池,电气设备
000050.SZ,深天马Ａ,元器件
000055.SZ,方大集团,其他建材
000056.SZ,皇庭国际,其他商业
000058.SZ,深赛格,商品城
000059.SZ,华锦股份,石油加工
000060.SZ,中金岭南,铅锌
000061.SZ,农产品,农业综合
000062.SZ,深圳华强,元器件
000063.SZ,中兴通讯,通信设备
000065.SZ,北方国际,建筑工程
000066.SZ,中国长城,IT设备
000068.SZ,华控赛格,环境保护
000069.SZ,华侨城Ａ,全国地产
000070.SZ,特发信息,通信设备
000078.SZ,海王生物,医药商业
000088.SZ,盐田港,港口
000089.SZ,深圳机场,机场
000090.SZ,天健集团,建筑工程
000096.SZ,广聚能源,石油贸易
000099.SZ,中信海直,空运
000100.SZ,TCL科技,元器件
000151.SZ,中成股份,商贸代理
000153.SZ,丰原药业,化学制药
000155.SZ,川能动力,新型电力
000156.SZ,华数传媒,影视音像
000157.SZ,中联重科,工程机械
000158.SZ,常山北明,软件服务
000159.SZ,国际实业,石油贸易
000301.SZ,东方盛虹,化纤
000400.SZ,许继电气,电气设备
000401.SZ,金隅冀东,水泥
000402.SZ,金融街,全国地产
000403.SZ,派林生物,生物制药
000404.SZ,长虹华意,家用电器
000407.SZ,胜利股份,供气供热
000408.SZ,藏格矿业,农药化肥
000409.SZ,云鼎科技,软件服务
000410.SZ,沈阳机床,机床制造
000411.SZ,英特集团,医药商业
000415.SZ,渤海租赁,多元金融
000417.SZ,合百集团,百货
000419.SZ,通程控股,百货
000420.SZ,吉林化纤,化纤
000421.SZ,南京公用,供气供热
000422.SZ,湖北宜化,农药化肥
000423.SZ,东阿阿胶,中成药
000425.SZ,徐工机械,工程机械
000426.SZ,兴业银锡,铅锌
000428.SZ,华天酒店,酒店餐饮
000429.SZ,粤高速Ａ,路桥
000430.SZ,ST张家界,旅游景点
000488.SZ,ST晨鸣,造纸
000498.SZ,山东路桥,建筑工程
000501.SZ,武商集团,百货
000503.SZ,国新健康,软件服务
000504.SZ,*ST生物,医疗保健
000505.SZ,京粮控股,食品
000506.SZ,招金黄金,黄金
000507.SZ,珠海港,新型电力
000509.SZ,华塑控股,元器件
000510.SZ,新金路,化工原料
000513.SZ,丽珠集团,化学制药
000514.SZ,渝开发,区域地产
000516.SZ,国际医学,医疗保健
000517.SZ,荣安地产,区域地产
000518.SZ,*ST四环,生物制药
000519.SZ,中兵红箭,专用机械
000520.SZ,凤凰航运,水运
000521.SZ,长虹美菱,家用电器
000523.SZ,红棉股份,食品
000524.SZ,岭南控股,旅游服务
000525.SZ,红太阳,农药化肥
000526.SZ,学大教育,文教休闲
000528.SZ,柳工,工程机械
000529.SZ,广弘控股,食品
000530.SZ,冰山冷热,机械基件
000531.SZ,穗恒运Ａ,火力发电
000532.SZ,华金资本,多元金融
000533.SZ,顺钠股份,电气设备
000534.SZ,万泽股份,生物制药
000536.SZ,华映科技,元器件
000537.SZ,绿发电力,新型电力
000538.SZ,云南白药,中成药
000539.SZ,粤电力Ａ,火力发电
000541.SZ,佛山照明,家用电器
000543.SZ,皖能电力,火力发电
000544.SZ,中原环保,环境保护
000545.SZ,金浦钛业,化工原料
000546.SZ,金圆股份,环境保护
000547.SZ,航天发展,通信设备
000548.SZ,湖南投资,路桥
000550.SZ,江铃汽车,汽车整车
000551.SZ,创元科技,专用机械
000552.SZ,甘肃能化,煤炭开采
000553.SZ,安道麦A,农药化肥
000554.SZ,泰山石油,石油贸易
000555.SZ,神州信息,软件服务
000557.SZ,西部创业,铁路
000558.SZ,天府文旅,旅游景点
000559.SZ,万向钱潮,汽车配件
000560.SZ,我爱我家,房产服务
000561.SZ,烽火电子,通信设备
000563.SZ,陕国投Ａ,多元金融
000564.SZ,供销大集,百货
000565.SZ,渝三峡Ａ,染料涂料
000566.SZ,海南海药,化学制药
000567.SZ,海德股份,多元金融
